rxn_id,reaction_balance_status,reaction_direction
|RXN-16531|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17281|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10829|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-20456|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22155|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.21.118-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14711|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9038|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17925|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19426|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19867|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.15.4-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16291|,|BALANCED|,|LEFT-TO-RIGHT|
|L-AMINO-ACID-OXIDASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13477|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-22425|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20300|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-1382|,|BALANCED|,|REVERSIBLE|
|6.1.1.26-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10973|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-15396|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17744|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|1PFRUCTPHOSN-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-20994|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-9201|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1G-554|,|BALANCED|,|LEFT-TO-RIGHT|
|HISTIDPHOS-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19273|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12340|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22689|,|UNDETERMINED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16387|,|BALANCED|,
|4.1.3.35-RXN|,|BALANCED|,
|RXN-16831|,|BALANCED|,|LEFT-TO-RIGHT|
|PHENYLALANINE--TRNA-LIGASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16484|,|BALANCED|,|LEFT-TO-RIGHT|
|3.1.3.43-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-6321|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.8.3.9-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-8142|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13957|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|RXN-19846|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20776|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22505|,|BALANCED|,|REVERSIBLE|
|RXN-15367|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|2.3.1.116-RXN|,|BALANCED|,
|RXN-22244|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12175|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19816|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-12837|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9757|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15038|,|BALANCED|,
|NAG1P-URIDYLTRANS-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11295|,|BALANCED|,|LEFT-TO-RIGHT|
|RXNQT-4161|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17003|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1G-440|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN0-963|,|BALANCED|,|LEFT-TO-RIGHT|
