1.1.1.1_000,rule0002_154
1.1.1.1_001,rule0002_087
1.1.1.1_002,rule0002_087
1.1.1.1_003
1.1.1.1_004,rule0003_164
1.1.1.1_005,rule0003_164
1.1.1.1_006,rule0002_146
1.1.1.1_007,rule0002_146
1.1.1.1_008,rule0002_088
1.1.1.1_009,rule0002_088
1.1.1.1_010,rule0002_132
1.1.1.1_011
1.1.1.1_012,rule0003_100
1.1.1.1_013,rule0002_074
1.1.1.1_014,rule0002_132
1.1.1.1_015,rule0002_132
1.1.1.1_016
1.1.1.1_017,rule0002_153
1.1.1.1_018,rule0002_153
1.1.1.1_019,rule0002_109
1.1.1.1_020,rule0002_087
1.1.1.1_021,rule0002_087
1.1.1.1_022,rule0002_088
1.1.1.1_023,rule0003_106
1.1.1.1_024,rule0002_097
1.1.1.1_025
1.1.1.1_026,rule0002_043
1.1.1.1_027,rule0002_087
1.1.1.1_028,rule0002_075
1.1.1.1_029,rule0002_075
1.1.1.1_030,rule0002_087
1.1.1.1_031
1.1.1.1_032,rule0002_097
1.1.1.1_033,rule0002_097
1.1.1.1_034,rule0002_097
1.1.1.1_035,rule0002_097
1.1.1.1_036,rule0002_097
1.1.1.1_037,rule0002_097
1.1.1.1_038,rule0002_097
1.1.1.1_039,rule0002_097
1.1.1.1_040,rule0002_097
1.1.1.1_041,rule0002_088
1.1.1.1_042,rule0003_153
1.1.1.1_043,rule0002_140
1.1.1.1_044,rule0003_106
1.1.1.1_045,rule0002_097
1.1.1.1_046,rule0002_097
1.1.1.1_047,rule0002_146
1.1.1.1_048
1.1.1.1_049
1.1.1.1_050
1.1.1.1_051
1.1.1.1_052,rule0002_094
1.1.1.1_053,rule0003_177
1.1.1.1_054
1.1.1.1_055,rule0003_164
1.1.1.1_056,rule0002_124
1.1.1.1_057,rule0002_043
1.1.1.1_058,rule0003_049
1.1.1.1_059,rule0002_077
1.1.1.1_060,rule0002_153
1.1.1.1_061,rule0002_087
1.1.1.1_062
1.1.1.1_063
1.1.1.1_064,rule0002_087
1.1.1.1_065,rule0002_087
1.1.1.1_066,rule0002_087,rule0002_092
1.1.1.1_067,rule0002_087
1.1.1.1_068,rule0002_087
1.1.1.1_069,rule0002_072
1.1.1.1_070,rule0002_087
1.1.1.1_071,rule0002_087
1.1.1.1_072,rule0002_087
1.1.1.1_073,rule0002_109
1.1.1.1_074,rule0002_150
1.1.1.1_075,rule0003_118
1.1.1.1_076,rule0003_118
1.1.1.1_077,rule0003_118
1.1.1.1_078,rule0002_107
1.1.1.1_079,rule0003_151
1.1.1.1_080,rule0002_110
1.1.1.1_081,rule0002_110
1.1.1.1_082,rule0002_110
1.1.1.1_083,rule0003_106
