RXN-12199
RXN-12199_reverse
RXN-7830,rule0001_13
RXN-7830_reverse,rule0001_28
PEROXID-RXN
PEROXID-RXN_reverse
RXN-17156
RXN-17156_reverse
RXN-9305,rule0309_2
RXN-9305_reverse,rule0288_2
RXN-11326,rule0001_12
RXN-11326_reverse,rule0001_63
RXN-15089,rule0006_088,rule0006_108
RXN-15089_reverse,rule0007_133
GAMMA-GLUTAMYLHISTAMINE-SYNTHASE-RXN,rule0049_19
GAMMA-GLUTAMYLHISTAMINE-SYNTHASE-RXN_reverse,rule0050_10
RXN-12683,rule0005_21
RXN-12683_reverse,rule0004_07
RXN66-515,rule0035_8
RXN66-515_reverse,rule0032_19
RXN-15589,rule0047_1
RXN-15589_reverse,rule0048_5
RXN-14174,rule0012_274
RXN-14174_reverse,rule0013_64
RXN-18467,rule0003_069
RXN-18467_reverse,rule0002_051
RXN-11761
RXN-11761_reverse
TRYPTOPHANAMIDASE-RXN,rule0055_2
TRYPTOPHANAMIDASE-RXN_reverse,rule0056_14
6PFRUCTPHOS-RXN,rule0014_08
6PFRUCTPHOS-RXN_reverse,rule0015_07
RXN-14698,rule0041_01
RXN-14698_reverse,rule0042_01
2.1.1.17-RXN,rule0033_10
2.1.1.17-RXN_reverse,rule0034_19
1.1.1.51-RXN,rule0003_040
1.1.1.51-RXN_reverse,rule0002_037
RXN-9841,rule0003_025
RXN-9841_reverse,rule0002_013
RXN-17620,rule0005_60
RXN-17620_reverse,rule0004_13
RXN-525,rule0005_17
RXN-525_reverse,rule0004_10
RXN-15125,rule0020_19
RXN-15125_reverse,rule0019_44
RXN-13157
RXN-13157_reverse
LAMINARIBIOSE-PHOSPHORYLASE-RXN,rule0097_2
LAMINARIBIOSE-PHOSPHORYLASE-RXN_reverse,rule0096_6
RXN-16096,rule0020_02
RXN-16096_reverse,rule0019_02
RXN-13666
RXN-13666_reverse
RXN-12237
RXN-12237_reverse
RXN-16569,rule0001_19
RXN-16569_reverse,rule0001_22
PHOSGLYPHOS-RXN,rule0014_09
PHOSGLYPHOS-RXN_reverse,rule0015_16
RXN-9352,rule0072_4
RXN-9352_reverse,rule0073_3
2.7.8.22-RXN,rule0029_3
2.7.8.22-RXN_reverse,rule0029_8
RXN-12721
RXN-12721_reverse
RXN-7763,rule0014_30
RXN-7763_reverse
RXN-15631
RXN-15631_reverse
RXN-17095,rule0035_4
RXN-17095_reverse,rule0032_01
RXN-18504,rule0033_13
RXN-18504_reverse,rule0034_08
RXN-16130,rule0020_02
RXN-16130_reverse,rule0019_02
ACETYL-COA-CARBOXYLTRANSFER-RXN
ACETYL-COA-CARBOXYLTRANSFER-RXN_reverse
RXN-14115
RXN-14115_reverse
2.1.1.99-RXN
2.1.1.99-RXN_reverse,rule0034_09
RXN-11711,rule0037_33
RXN-11711_reverse,rule0036_22
RXN-9875
RXN-9875_reverse,rule0094_1
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN
