|RXN-20329|
|RXN1A0-6314|,rule0230,rule0622
|RXN-12408|
|D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN|
|RXN-17472|
|RXN0-275|
|RXN-19088|
|RXN-8026|
|RXN-15237|
|RXN-7626|
|RXN-8642|
|RXN-6242|,rule0876,rule0969
|R311-RXN|
|RXN-4727|
|4.2.3.25-RXN|
|GLUCISOM-RXN_REV|,rule0028
|3.4.23.28-RXN|
|PROPCOASYN-RXN|
|CASBENE-SYNTHASE-RXN|,rule0397
|RXN-15317|
|GLYCOGEN-SYNTHASE-D-PHOSPHATASE-RXN|
|N-ACETYLHEXOSAMINE-1-DEHYDROGENASE-RXN|
|RXN3O-58|
|RXN-8123|
|RXN-11128|
|RXN-16823|,rule1168
|RXN0-6512|
|R282-RXN_REV|
|3.4.21.38-RXN|
|RXN-12030|
|RXN66-483|
|RXN-15828|
|RXN-15994|
|RXN-20962|,rule0969
|FORMATE-KINASE-RXN|,rule0431,rule0517
|RXN-9162|,rule0001,rule0006,rule0007,rule0008,rule0009,rule0096,rule0097,rule0104,rule0105,rule0211,rule0212,rule0384
|TAU-PROTEIN-KINASE-RXN|
|2.6.1.64-RXN|
|RXN-14919|
|1.13.11.16-RXN|
|RXN-13255|
|RXN-11677|
|RXN-20207|,rule0039,rule0171,rule0756
|RXN-19143|
|RXN-14532|,rule0169,rule0632
|RXN-16389|
|RXN-19009|
|RXN66-632|
|RXN-9970|
|ACID-PHOSPHATASE-RXN|
|2.4.1.178-RXN|
|RXN-20291|
|RXN-18542|
|RXN-17230|,rule0027
|RXN-15667|
|3.4.21.99-RXN|
|RXN-9787|
|RXN-11920|
|TRANS-RXN0-236_REV|
|RXN-10652|
|TRANS-RXN-234|
|RXN-19704|
|RXN-20263|
|RXN-22261|
|GUANYLCYC-RXN|
|ORNITHINE-RACEMASE-RXN|
|RXN-22577|
|RXN-9338_REV|
|RXN-11039_REV|
|RXN0-5062_REV|
|RXN-10049|
